,patch_id,img_id,scatter_x,scatter_y,grade,o2u,fine,class,heat_score,grade_0_num,grade_1_num,grade_2_num,file_name,noise
0,0.0,0.0,0.38486739313586715,0.7747441512199602,0.0,0.257,0.738,0,0.2595,4.0,4.0,4.0,x2851_y2051_class0.png,1.0
1,1.0,0.0,0.2571221874820427,0.3758491840469978,0.0,0.248,0.831,0,0.20850000000000002,4.0,4.0,4.0,x2101_y351_class0.png,1.0
2,2.0,0.0,0.27066575020234257,0.4573786818101697,0.0,0.249,0.802,0,0.22349999999999998,4.0,4.0,4.0,x2501_y451_class0.png,1.0
3,3.0,0.0,0.1793403231364267,0.3302131910051533,0.0,0.203,0.833,0,0.18500000000000003,4.0,4.0,4.0,x2251_y2501_class0.png,1.0
4,4.0,0.0,0.3485273905461391,0.7418823015272312,0.0,0.168,0.7,0,0.23400000000000004,4.0,4.0,4.0,x2751_y301_class0.png,1.0
5,5.0,0.0,0.1436846715244356,0.9749357746869001,0.0,0.282,0.731,0,0.27549999999999997,4.0,4.0,4.0,x901_y251_class0.png,1.0
6,6.0,0.0,0.21199627513414468,0.6481990032611962,0.0,0.085,0.633,1,0.226,4.0,4.0,4.0,x2601_y951_class1.png,1.0
7,7.0,0.0,0.37431954294506103,0.6827899162300405,0.0,0.296,0.731,1,0.2825,4.0,4.0,4.0,x2301_y1301_class1.png,1.0
8,8.0,0.0,0.21276794527914394,0.612075462290757,0.0,0.078,0.8,0,0.13899999999999998,4.0,4.0,4.0,x3251_y501_class0.png,1.0
9,9.0,0.0,0.20195025732798771,0.9070722798515363,0.0,0.104,0.95,1,0.07700000000000001,4.0,4.0,4.0,x2301_y651_class1.png,1.0
10,10.0,0.0,0.14340657895925885,1.0281574557201278,0.0,0.142,0.925,1,0.10849999999999997,4.0,4.0,4.0,x2651_y1701_class1.png,1.0
11,11.0,0.0,0.34201902947180984,0.44210463023761853,0.0,0.265,0.931,0,0.16699999999999998,4.0,4.0,4.0,x2901_y451_class0.png,1.0
12,12.0,0.0,0.2115073552346868,1.069381335526219,0.0,0.2,0.775,1,0.2125,4.0,4.0,4.0,x2951_y1401_class1.png,1.0
13,13.0,0.0,0.20463783531912294,0.627242412929814,0.0,0.179,0.827,0,0.17600000000000002,4.0,4.0,4.0,x1951_y251_class0.png,1.0
14,14.0,0.0,0.30815430348945255,0.6072625112627439,0.0,0.05,0.648,0,0.20099999999999998,4.0,4.0,4.0,x2751_y2451_class0.png,1.0
15,15.0,0.0,0.3288559499947266,0.642062375377212,0.0,0.198,0.698,1,0.25,4.0,4.0,4.0,x3301_y1551_class1.png,1.0
16,16.0,0.0,0.5123718100282735,0.844732071830035,0.0,0.277,0.653,0,0.312,4.0,4.0,4.0,x1001_y701_class0.png,1.0
17,17.0,0.0,0.21905031924697893,0.9011613708016837,0.0,0.187,0.673,1,0.257,4.0,4.0,4.0,x3101_y651_class1.png,1.0
18,18.0,0.0,0.2687521711646379,0.6596635032492696,0.0,0.251,0.76,0,0.2455,4.0,4.0,4.0,x1601_y251_class0.png,1.0
19,19.0,0.0,0.34664031213800944,0.5761962761441877,0.0,0.097,0.842,0,0.1275,4.0,4.0,4.0,x3001_y2201_class0.png,1.0
20,20.0,0.0,0.16762819937957968,0.5018278284487774,0.0,0.169,0.771,1,0.199,4.0,4.0,4.0,x3351_y1651_class1.png,1.0
21,21.0,0.0,0.2528150478041224,0.8711922046883527,0.0,0.181,0.722,0,0.2295,4.0,4.0,4.0,x2551_y2551_class0.png,1.0
22,22.0,0.0,0.26913966829958197,0.3918220784401677,0.0,0.105,0.846,0,0.1295,4.0,4.0,4.0,x101_y1051_class0.png,1.0
23,23.0,0.0,0.29431039920845387,0.3635073482585228,0.0,0.084,0.694,1,0.19500000000000003,4.0,4.0,4.0,x3151_y1651_class1.png,1.0
24,24.0,0.0,0.1507087258811045,0.7391601352123562,0.0,0.258,0.813,0,0.22250000000000003,4.0,4.0,4.0,x2651_y2801_class0.png,1.0
25,25.0,0.0,0.32553539380125024,0.505924839572733,0.0,0.231,0.717,0,0.257,4.0,4.0,4.0,x1151_y2001_class0.png,1.0
26,26.0,0.0,0.382950088001298,0.7970428659310447,0.0,0.297,0.849,0,0.224,4.0,4.0,4.0,x1701_y901_class0.png,1.0
27,27.0,0.0,0.38436252752192457,0.7132138563340544,0.0,0.135,0.887,1,0.124,4.0,4.0,4.0,x2601_y1501_class1.png,1.0
28,28.0,0.0,0.39600080924834236,0.5459483701504686,0.0,0.235,0.774,0,0.23049999999999998,4.0,4.0,4.0,x1501_y451_class0.png,1.0
29,29.0,0.0,0.2305134252612173,0.6539614979624575,0.0,0.171,0.803,1,0.184,4.0,4.0,4.0,x2801_y851_class1.png,1.0
30,30.0,0.0,0.22718965230089094,0.6699221498675233,0.0,0.233,0.85,0,0.1915,4.0,4.0,4.0,x2551_y451_class0.png,1.0
31,31.0,0.0,0.3671056239892851,0.5194001789331728,0.0,0.268,0.671,0,0.2985,4.0,4.0,4.0,x3351_y501_class0.png,1.0
32,32.0,0.0,0.2907337540385914,0.3629435661375534,0.0,0.175,0.827,0,0.17400000000000002,4.0,4.0,4.0,x551_y1801_class0.png,1.0
33,33.0,0.0,0.44534455240580906,0.7114034745124012,0.0,0.267,0.928,0,0.16949999999999998,4.0,4.0,4.0,x1901_y1151_class0.png,1.0
34,34.0,0.0,0.3227121511338852,0.6760988983463786,0.0,0.197,0.786,1,0.2055,4.0,4.0,4.0,x3251_y1801_class1.png,1.0
35,35.0,0.0,0.21841315738614062,0.47673773359332045,0.0,0.097,0.842,0,0.1275,4.0,4.0,4.0,x2801_y2701_class0.png,1.0
36,36.0,0.0,0.29582170750174663,0.395000651262065,0.0,0.159,0.659,0,0.25,4.0,4.0,4.0,x2051_y1101_class0.png,1.0
37,37.0,0.0,0.32877844779047194,0.44056148610863555,0.0,0.212,0.855,1,0.1785,4.0,4.0,4.0,x3551_y1801_class1.png,1.0
38,38.0,0.0,0.31718797646278374,0.6761314089737022,0.0,0.278,0.742,0,0.268,4.0,4.0,4.0,x3051_y1951_class0.png,1.0
39,39.0,0.0,0.23294467224192356,0.5828959398531179,0.0,0.081,0.799,0,0.141,4.0,4.0,4.0,x2001_y551_class0.png,1.0
40,40.0,0.0,0.1478675458672295,0.45574350476174563,0.0,0.262,0.808,1,0.22699999999999998,4.0,4.0,4.0,x2901_y1251_class1.png,1.0
41,41.0,0.0,0.4431725193898193,0.571469844462859,0.0,0.11,0.64,1,0.235,4.0,4.0,4.0,x3251_y851_class1.png,1.0
42,42.0,0.0,0.29578433867377285,0.6990149681533246,0.0,0.116,0.81,1,0.15299999999999997,4.0,4.0,4.0,x2351_y951_class1.png,1.0
43,43.0,0.0,0.27620157151130853,0.4215607103326978,0.0,0.168,0.948,1,0.11000000000000003,4.0,4.0,4.0,x2401_y1301_class1.png,1.0
44,44.0,0.0,0.2642822319709634,0.04673820478223378,0.0,0.233,0.844,0,0.1945,4.0,4.0,4.0,x3001_y2001_class0.png,1.0
45,45.0,0.0,0.23255974276423003,0.5579993125430665,0.0,0.198,0.705,0,0.24650000000000002,4.0,4.0,4.0,x101_y1351_class0.png,1.0
46,46.0,0.0,0.3022471134318188,0.594027764348289,0.0,0.091,0.815,0,0.138,4.0,4.0,4.0,x2101_y601_class0.png,1.0
47,47.0,0.0,0.2522629539053106,0.5102270281855387,0.0,0.128,0.943,1,0.09250000000000003,4.0,4.0,4.0,x2201_y701_class1.png,1.0
48,48.0,0.0,0.18237110205355145,0.03364474263704864,0.0,0.192,0.946,1,0.12300000000000003,4.0,4.0,4.0,x2701_y1151_class1.png,1.0
49,49.0,0.0,0.37982712379575934,0.5477533075557477,0.0,0.086,0.704,1,0.191,4.0,4.0,4.0,x2851_y1501_class1.png,1.0
50,50.0,0.0,0.3860260122809318,0.6509623227295185,0.0,0.189,0.667,0,0.261,4.0,4.0,4.0,x1551_y101_class0.png,1.0
51,51.0,0.0,0.1953183775574165,0.4246662463643578,0.0,0.157,0.74,0,0.20850000000000002,4.0,4.0,4.0,x2501_y2451_class0.png,1.0
52,52.0,0.0,0.3444613450378045,0.6291025235910562,0.0,0.226,0.67,0,0.27799999999999997,4.0,4.0,4.0,x2651_y301_class0.png,1.0
53,53.0,0.0,0.2931068656568651,0.6287447319598003,0.0,0.108,0.652,0,0.22799999999999998,4.0,4.0,4.0,x1551_y351_class0.png,1.0
54,54.0,0.0,0.33462412134908287,0.8421329393639739,0.0,0.178,0.924,1,0.12699999999999997,4.0,4.0,4.0,x2551_y1151_class1.png,1.0
55,55.0,0.0,0.2854083129072714,0.7504946504284054,0.0,0.093,0.696,0,0.1985,4.0,4.0,4.0,x2801_y1801_class0.png,1.0
56,56.0,0.0,0.4700476520778403,0.5863477658939004,0.0,0.161,0.681,1,0.24,4.0,4.0,4.0,x3301_y1051_class1.png,1.0
57,57.0,0.0,0.26763502785590415,0.6972812494795624,0.0,0.175,0.8,0,0.18749999999999997,4.0,4.0,4.0,x3251_y1_class0.png,1.0
