patch_id,img_id,value,x,y,grade,o2u,fine
0.0,0.0,0.7071756246931198,0.4628469349547653,0.3794772842970768,0.0,0.064,0.878
1.0,0.0,0.9152453627015368,0.2722597862472498,0.712502265229699,0.0,0.096,0.657
2.0,0.0,0.3419157095157602,0.4713125630955014,0.4662970528823936,0.0,0.293,0.858
3.0,0.0,0.8961398336153777,0.1502121759668219,0.4094320552144034,0.0,0.179,0.724
4.0,0.0,0.9097592619818456,0.3368569118090213,0.5705513419336689,0.0,0.125,0.917
5.0,0.0,0.065696321126761,0.297555828564234,0.6918836561976242,0.0,0.145,0.885
6.0,0.0,0.0208513931166426,0.1673753856629468,0.6290554322965046,0.0,0.053,0.831
7.0,0.0,0.9272391632592588,0.3892963986823022,0.1859270709312776,0.0,0.199,0.906
8.0,0.0,0.5989168636180846,0.2080757821439201,0.380813260702763,0.0,0.294,0.705
9.0,0.0,0.6576888978336646,0.4167958454966131,0.37852613980819,0.0,0.177,0.822
10.0,0.0,0.4781945676697891,0.2306391657974614,0.5090424109854272,0.0,0.111,0.629
11.0,0.0,0.6587629844314921,0.2914651724878326,0.4453856184089017,0.0,0.071,0.7
12.0,0.0,0.5896652654628699,0.4120096387676077,0.7201522806781548,0.0,0.209,0.647
13.0,0.0,0.4518606394453623,0.5156209803085687,0.2835228915768338,0.0,0.099,0.623
14.0,0.0,0.3584714363699922,0.2344528009293097,0.3117821832629263,0.0,0.155,0.614
15.0,0.0,0.5087251111616132,0.1239649026074408,0.488191253393857,0.0,0.3,0.74
16.0,0.0,0.7339905925427621,0.1526750952576603,0.4148677085238114,0.0,0.22,0.791
17.0,0.0,0.725018909239229,0.3087129643272293,0.6886766548919716,0.0,0.103,0.768
18.0,0.0,0.0207864932347192,0.5386124064641542,0.5414585482563383,0.0,0.167,0.891
19.0,0.0,0.1545758080941973,0.1641717726294045,0.8692886068749826,0.0,0.115,0.789
20.0,0.0,0.1102248914605276,0.3382510947916222,0.7187573141057384,0.0,0.288,0.798
21.0,0.0,0.5299664730427444,0.4476486406354628,0.5435540096670236,0.0,0.265,0.95
22.0,0.0,0.909079322458572,0.3818389703741695,0.5852901194348329,0.0,0.177,0.697
23.0,0.0,0.0911097226854323,0.294769837068418,0.7202081872631632,0.0,0.224,0.732
24.0,0.0,0.2323492850581757,0.2100482431466184,0.6676024758922966,0.0,0.162,0.819
25.0,0.0,0.0681832426180437,0.2689296180989646,0.9701730982353904,0.0,0.065,0.645
26.0,0.0,0.4614055544935715,0.3420985092299153,0.4126844524408535,0.0,0.157,0.879
27.0,0.0,0.4250127078942639,0.3035065846117166,0.5236446104808189,0.0,0.264,0.638
28.0,0.0,0.7334271831885939,0.1612113831039018,0.5573572081764687,0.0,0.091,0.831
29.0,0.0,0.5380290972436903,0.4311461030071694,0.7231005130469014,0.0,0.125,0.911
30.0,0.0,0.6093955393838019,0.2293138527124985,0.5064814678831006,0.0,0.051,0.685
31.0,0.0,0.9489202749015916,0.2387937825257329,0.734692343674653,0.0,0.203,0.722
32.0,0.0,0.4879184716162443,0.3762270595598937,0.4398997304306706,0.0,0.142,0.76
33.0,0.0,0.7401595149786437,0.2472068324155165,0.6157151400978371,0.0,0.161,0.886
34.0,0.0,0.2812105953047332,0.1674184583130731,1.1889981797071627,0.0,0.189,0.765
35.0,0.0,0.5958179683054992,0.4681604517716897,0.5719152184562196,0.0,0.106,0.641
36.0,0.0,0.2546512830719318,0.3191019318181065,0.3097197589804917,0.0,0.097,0.946
37.0,0.0,0.6160365802860316,0.3424624509702487,0.4004892556351445,0.0,0.153,0.939
38.0,0.0,0.8471742473627122,0.1962924521057706,0.410781196726875,0.0,0.127,0.708
39.0,0.0,0.3278139802130572,0.1617149480715533,0.5674049033718217,0.0,0.253,0.823
40.0,0.0,0.2249849241490115,0.463976370961215,0.5046313273860554,0.0,0.126,0.889
41.0,0.0,0.3993784820499862,0.3674715088522886,0.5913916572617113,0.0,0.103,0.718
42.0,0.0,0.2973112045107112,0.2897239817016975,0.4748566012630202,0.0,0.292,0.907
43.0,0.0,0.8194571123762119,0.4612458566205603,0.4787928912248366,0.0,0.285,0.628
44.0,0.0,0.8798626034901741,0.4649232518648904,0.7382929918366998,0.0,0.221,0.902
45.0,0.0,0.7668158931976402,0.1346525488762263,0.5247804209410953,0.0,0.08,0.857
46.0,0.0,0.3746365947593315,0.4217936629115409,0.8294732049777945,0.0,0.233,0.811
47.0,0.0,0.0323879396861843,0.1865685334237317,0.6622742996093385,0.0,0.068,0.948
48.0,0.0,0.806899970746779,0.0678288000066964,0.5547487503596435,0.0,0.111,0.623
49.0,0.0,0.0515919521402967,0.2634318608518344,0.6819565622727292,0.0,0.169,0.763
0.0,1.0,0.2713510120035187,0.2149577123278512,0.8505909722048748,0.0,0.088,0.86
1.0,1.0,0.958987232815234,0.3318506996025676,0.8405461202576473,0.0,0.09,0.953
2.0,1.0,0.0271651465937518,0.3035365686588447,0.4420049477587073,0.0,0.297,0.817
3.0,1.0,0.4398304865491846,0.3266275598768549,0.6395735272255598,0.0,0.133,0.94
4.0,1.0,0.3497406398704462,0.3001835297206645,0.7144885435263957,0.0,0.071,0.878
5.0,1.0,0.75042211579701,0.3080365760702871,1.0280436169549814,0.0,0.207,0.799
6.0,1.0,0.8904109829873166,0.2894159948833876,0.534267918410435,0.0,0.249,0.617
7.0,1.0,0.8815724995389901,0.2595509008010295,0.7100612536502,0.0,0.222,0.81
8.0,1.0,0.1705219717366435,0.491880587883145,0.50679044583321,0.0,0.091,0.921
9.0,1.0,0.2943629568893765,0.4569775584973803,0.7673110822254571,0.0,0.054,0.712
